links,post_content,post_title
https://scribing.shop/2021/10/13/gsb007-marketing-for-managers/,Following completion of this unit participants should be able to: 1. Assess the role the marketing function fulfils within the overall business strategy 2. Review marketplace forces and identify research requirements to understand consumer insights 3. Compare consumer behaviour to develop differentiation and positioning strategies to assist in developing competitive advantage 4. Prepare the product/service for marketplace delivery 5. Implement a thorough marketing strategy 6. Think and act in an ethical and sustainable manner 7. Demonstrate a high order of skill in analysis critical thinking communication and professional application 8. Demonstrate creativity and flexibility in the application of knowledge and skills to new situations to resolve problems and to think rigorously and independently    Read less,GSB007 Marketing for Managers
https://scribing.shop/2021/10/13/hi5020-corporate-accounting-3/,Question 1  (7 marks) You are a Supply Chain Procurement Manager working for a large manufacturing company located in North America. Recently you have found out that one of your suppliers is in contravention of your company's standards of engagement because they are employing persons aged 14 to 16 years of age. Whilst you would prefer to end the business relationship with this supplier immediately you have to weigh up the ethical issues with the commercial considerations including; the low cost of the supplies and the history of reliability of delivery from this supplier. (Word limit: 400 words)  Required: Based on your knowledge of corporate social responsibility as well as supply chain logistics what is the best course of action in this situation? Discuss.  ANSWER: **   Question 2  (7 marks) You are the new CEO of a major well-established automotive manufacturer in South Korea but you are concerned that the longstanding price war in the industry is undermining profits for all firms in this sector. However you have been warned by your company's in-house corporate lawyers not to openly discuss pricing with rival firms. In several cases you know the other CEOs personally because you graduated from the same business school as they did. (Word limit: 400 words) Required: Given this dilemma how would you develop an effective strategy to ensure you act in the best interests of your company but without engaging in collusion which is illegal? Discuss.  ANSWER:  Question 3  (7 marks) You are currently employed as a mid-tier manager at a large multi-national entity. Last week you heard that your company is being acquired by a competitor from another country. Whilst this has been communicated as a positive and mutually beneficial development by the General Manager of your company you have some reservations based on your experience at other organisations. (Word limit: 400 words) Required: Based on your knowledge of post-acquisition integration what are your immediate and long-term concerns? What actions might you take? Discuss.  ANSWER: Question 4    (7 marks) The global matrix organisational structure is often considered an effective compromise as an organisational structure because it addresses the disadvantages of both the geographic areaù and global product divisionù structures. However this assessment has also been disputed. Required: Discuss the advantages and disadvantages of the global matrix organisational structure. Provide appropriate examples in your response. Question 5 You have been appointed by Interpol  The International Criminal Police Organisation  to manage an international team to produce a high-level report on global efforts to address cyber-security and data security breaches. Experts joining the team are based in New Delhi New York Singapore Sao Paolo and Dubai. (Word limit: 600 words)  Required: Given that each expert is from a different cultural background and using your knowledge of cultural dimensions how are you going to make this team work effectively when communication is exclusively online? How would you ensure that each team member contributes effectively so as to avoid the possibility of group thinkù emerging in the decision-making process? Question 6 The COVID-19 pandemic has adversely affected international travel and also had an impact on globalisation. There are also increasingly serious global political issues emerging including; great power rivalry renewed border disputes and other political tensions flaring up in different parts of the world. (Word limit: 600 words)  Required: From an institution-based perspective how are national and international politics likely to influence future paths of globalization? (5 marks)  How should multi-national entities respond strategically if a new cold warù emerges due to great power rivalry? (6 marks) ANSWER:      Read less,HI5020 Corporate Accounting
https://scribing.shop/2021/10/13/edmas6027-early-childhood-education-and-care/,1. Assessment Summary Assessment task 1 Written Argument (1500 words) =30% Purpose of this task and how it relates to the key learning outcomes: The purpose of this task is to introduce the key concepts that relate to an inquiry stance and how this relates to the evaluation of teaching programs and the improvement of student learning. A brief description of what students are being asked to do to fulfil the requirements for completion of the task: In this task students will construct an argument in writing that could be presented to faculty members in a school who are debating about ways to deepen their professional learning and students' learning in classrooms. The argument should aim to convince colleagues to embed practitioner inquiry into their work. Students should: demonstrate that they understand the nature of practitioner inquiry and its value. show clear and well-developed understanding of what it means to take an òinquiry stance' in relation to teachers' professional learning and the work teachers do to enhance students' learning. make links between the idea of taking an òinquiry stance' and the Dispositions for Teaching Framework. The argument should identify three key points related to the value of conducting practitioner inquiry and use research literature to support each key point. Students should also demonstrate that they are aware of the challenges associated with working in these ways in school contexts. They should explain what stands in the way of schools creating a culture where practitioner inquiry is embedded. Where possible suggested solutions can be provided for dealing with challenges. Overall students should demonstrate their capacity to use language and research to thoughtfully and clearly construct an argument leading to positive change in schools. A clear statement of the criteria that will be used to grade the task: The Criteria used to assess this task are that the writing demonstrates the following: Understands the concept of developing an òinquiry stance' in teaching and what it means to conduct practitioner inquiry. Convincingly uses key arguments to support the inclusion of practitioner inquiry in a school's culture. Understands some of the key challenges related to embedding practitioner inquiry into schools and provides suggestions for dealing with challenges. Uses personal voice and persuasive language to effectively argue a point of view related to education. 4. Assessor 3. A clear description of who will be the assessor The lecturer or assigned marker will assess the task. A clear statement of the weighting of each criteria used in the judgement process of the task: The assessment criteria are weighted equally. An indication of the approximate amount of time students should devote to the task: Pre-Service Teachers (PSTs) should devote approximately 12 hours to completing this task. Submission details relevant to the task PSTs will submit responses through Moodle on or before the due date. (October 7 2021) A statement regarding how students will receive feedback and the process of returning the student work    Read less,EDMAS6027 Early Childhood Education and Care
https://scribing.shop/2021/10/13/idst100-introductory-communications-for-helping-professionals-system/,Focusing on one the Sustainable Development Goals (SDGs). The objective of your paper is to undertake research on the progress of your chosen SDG to date. Your paper should address the following questions: What are the SDGs? What does your chosen SDG specifically address and how does it fit into the broader SDG project?  To what extent have the goals of the SDG been realized? What are the obstacles to its realization? To what extent is the SDG in question sustainable? Your starting point is one of the SDG reports from the publication Spotlight on Sustainable Development 2019.    Read less,IDST100 Introductory Communications for Helping Professionals System
https://scribing.shop/2021/10/13/nurs-8410-best-practices-in-nursing-specialties-health-care/,Reflect on your growth professionally and personally since you embarked on your DNP journey. The AACN believes that one of the benefits of a practice doctorate is that it enhances your leadership skills to strengthen practice and health care deliveryù (2006 p. 5). As you continue to engage in your practicum experience be cognizant of your growth in these areas.  You were asked to reflect on your leadership skills for this Assignment. This week you continue your reflection on leadership and how you can lead the translation of evidence to practice through contribution to policy development. Write a that synthesizes: Your vision of yourself as a leaderîspecifically: How you would continue to increase your knowledge and awareness of financial economic and other concerns related to new practice approaches. How translating evidence would enable you to affect or strengthen health care delivery and nursing practice  How you would advocate for the use of new evidence-based practice approaches through the policy arena.    Read less,NURS 8410 Best Practices in Nursing Specialties- Health care
https://scribing.shop/2021/10/13/pad-6718-applied-research-method/,What Can Be Designed Differently?ù Paper: The textbook (Nishishiba et al. 2013) provides elaborated details of three real-life practitioner-oriented research contexts. Textbook-recommended research questions designs and data collection strategies are also explained regarding their efficacy in answering the research questions and fulfilling the research objectives. The purpose of this assignment is to critique the strategies and steps recommended in the textbook i.e. what can be designed differently? Each student should focus on one character's (Emily Jim or Mary) research needs and contexts and discuss/critique one research element that could be designed differently or improved. Emphasis of the critique should be on improving robustness and vigor of the research design. Practical concerns such as resource commitment service disruption or political support should NOT be the focus of the critique assignment.    Read less,pad 6718 applied research method
https://scribing.shop/2021/10/13/psa104-nursing-primary-health/,Nursing within the Australian health care system is complex. There are many regulations guidelines and expectations to be met and the patients that nurses care for often come from varying socio-economic and cultural backgrounds that impact their wellness. Therefore there is a need for nurses to remain current in their practice and provide care that meets differing social ethical and legal parameters. This assessment provides an opportunity to demonstrate your understanding and application of different nursing theories primary health and wellness principles and ethical and legal principles Task Instructions All answers should be submitted on the Assessment 1 Response Template. Download this document and answer the questions as they relate to each case study. Read each question carefully and answer within the word limit as directed within the question. Refer to the Modules 1.1 1.2 2.1 2.2 and 3.1. Use the Essential readings to assist in answering the questions. Case Study 1 Sally: Watch the video òSally' in the assessment area in Blackboard. Answer questions 1-4 in the Assessment 1 Response Template. Case Study 2 Graham: Watch the video òGraham' in the assessment area in Blackboard. Answer questions 5-8 within the Assessment 1 Response Template. Case Study 3 Yu Yang: Watch the video òYu Yang' and then answer questions 9-11 within the Assessment 1 Response Template    Read less,PSA104 Nursing| Primary Health
https://scribing.shop/2021/10/13/rcm301-risk-and-crisis-management/,Students should select a 150-250 room hotel in their chosen state capital city and address the following: ¢Provide a brief overview of the chosen hotel outlining location facilities target marketcharacteristics competitors etc. ¢Using the concepts and theories of risk and crisis management conduct a comprehensiveenvironmental scan in which you assess the risks (both internal and external) related to thecurrent operations of the chosen hotel. ¢Identify three (3) high priority risks related to the acquisition of the chosen hotel andcritically analyse the potential impact of these risks on the future operations of the mid-sizedhotel chain. ¢For each high priority risk identified propose at least one (1) risk response strategies toaddress the risk using the 4T framework (Transfer Tolerate Treat and Terminate).    Read less,RCM301 Risk and Crisis Management
https://scribing.shop/2021/10/13/tfin203-security-analysis-and-pricing-stock-valuation-of-company/,You will be assigned an industry and students have the freedom to choose a stock within the assigned industry. The project should have two parts. Part one contains a detailed analysis of the company in the context of its industry (valuation with comparable). It should focus on the financial characteristics of the company relative to its main industry competitors. The second part emphasizes on the stock valuation of the company. The analysis should include the statistical models covered in the course for example the CAPM and DDM. If you wish you can also try the FCF approach. The purpose of the project Introduction of the company (its products and industry) Main competitors Financial characteristics of the company relative to its industry competitors for example sales EPS DPS risk analysis growth and other ratios  Where the company stands within the industry Emphasize on stock valuation of the company with statistical models covered in the course for example CAPM model dividend valuation model FCF approach etc.  You can estimate beta by yourself or get it from third-party source. E.g. online broker or database  Value the stock Summarize the project  What you learn from the exercise    Read less,TFIN203 Security Analysis and Pricing- Stock valuation of company
https://scribing.shop/2021/10/13/wnur01-research-and-evidence-based-practice-healthcare-workers/,The healthcare challenge that I have identified is healthcare-acquired infections (HAIs) and specifically whether hand hygiene compliance by healthcare workers (HCWs) in the healthcare setting results in a reduction in the incidence of healthcare-acquired infection when compared to hand hygiene non-compliance (Engdaw et al. 2019). There has been an increased infection rate in the healthcare setting as a result of hand hygiene non-compliance by HCWs. Based on research ineffective hand hygiene compliance is said to be one of the primary contributing factors to healthcare-acquired infections (Engdaw et al. 2019). Healthcare-acquired infections are those infections that are either direct or indirect acquired in the healthcare setting (Australian Commission on Safety and Quality in Health Care (ACSQHC) 2019). It also results to unnecessary suffering and pain for both patients and their families as well as prolong hospitalisation and increased healthcare cost (ACSQHC 2019). P: Healthcare workers I: Hand hygiene compliance C: Hand hygiene non-compliance O: Reduce the risk of healthcare-acquired infection Does effective hand hygiene compliance among healthcare workers reduce healthcare-acquired infections compared to hand hygiene non-compliance?    Read less,WNUR01 Research and Evidence Based Practice- Healthcare workers
https://scribing.shop/2021/10/14/nurs-8410-epidemiology-task-one-important-application-of-epidemiology-is-to-iden/,One important application of epidemiology is to identify factors that could increase the likelihood of a certain health problem occurring within a specific population. Epidemiologists use measures of effect to examine the association or linkage in the relationship between risk factors and emergence of disease or ill health. For instance they may use measures of effect to better understand the relationships between poverty and lead poisoning in children smoking and heart disease or low birth weight and future motor skills.  What is the significance of measures of effect for nursing practice? In this Discussion you will consider this pivotal question. With the Learning Resources in mind consider how measures of effect strengthen and support nursing practice.  What would be the risk of not using measures of effect in nursing practice?  Conduct additional research in the Walden Library and other credible resources and locate two examples in the scholarly literature that support your insights. Post a cohesive scholarly response that addresses the following: Analyze how measures of effect strengthen and support nursing practice. Provide at least two specific examples from the literature to substantiate your insights.  Assess dangers of not using measures of effect in nursing practice.    Read less,nurs 8410 epidemiology  task one important application of epidemiology is to iden
https://scribing.shop/2021/10/14/logic-and-sense-of-fairness/,You must write clearly and provide the needed information yet also achieve a polite and friendly tone. You will read about ways to achieve positive tone in a negative message in the text readings. Structure Because people react negatively to bad news the message must be written and structured to prevent the reader from misinterpreting and being offended this is why bad news is most often written using an indirect pattern. To help the reader to see things from your perspective appeal to the reader's logic and sense of fairness. Convince them that you are refusing what they saw as a reasonable request by using good fair and consistently applied reasons. The Indirect Pattern helps convince readers. In the indirect pattern we begin with a neutral statement that does not foreshadow the bad news so readers will continue to read. In this statement we can show goodwill and/or reassure the reader that we intend to address their concerns. Then we describe the reasons for the bad news  hopefully consistently applied and fair logic policy or law  and then discuss the specific reader's request. The theory is that the reader will see the fairness of our criteria and then when we apply those criteria to their specific situation they'll see it's a fair decision. A skillful writer can sometimes even leave the bad news implied.     Read less,Logic and Sense of Fairness
https://scribing.shop/2021/10/14/bus111-professional-practice-professional-audience/,The Report describe and analyse one of the problematic trends for the future of project delivery in Australia. The issue that you focus on maybe a current or future issue. The issue may be a political economic social technological legal or environmental matter or pressure. You also need to consider current or potentially likely developments in response to the issue you choose.  You are advised to consult the electronic journals available in the library for reference sources. Individual contributions to the group effort should be included in the report. Support your opinions with high quality references. The report is to be illustrated by a recorded group presentation of no more than' duration which communicates the ideas in the report to a professional audience.    Read less,BUS111 Professional Practice: Professional Audience
https://scribing.shop/2021/10/14/mktg6002-marketing-design-of-marketing-plans/,Marketing in the 21st century has evolved profoundly which is a critical element of business administration. The design of marketing plans is integral to business organisation and the assessment of this subject aims to provide students with the opportunity to apply the knowledge to develop effective marketing strategies. This assessment requires the students to analyse overall situation of the business prior to developing a marketing plan. The students will then continue to work on the same organisation to develop a complete marketing plan in their next assessment. A short scenario is given below to help students address the tasks involved in the assessment.  Articulate your learning about marketing concepts and principles covered to demonstrate your level of understanding to evaluate the organisation's overall situation; ¢ Critically analyse the link between marketing theory and practice; ¢ Demonstrate research skills to reveal the insights; ¢ Apply appropriate business report writing skills; ¢ Discuss appropriate strategies with regards to your SWOT analysis.  To develop an understanding and appreciation about the influences of micro and macro environmental actors and forces that affect an organisation's ability to serve the needs ofthe target market; To develop critical analytical ability to gather and analyse relevant data to facilitate decision making To develop foresights to predict industry trend and tailor the organisation's practices to respond to the changing situation.    Read less,MKTG6002 Marketing: Design of Marketing Plans
https://scribing.shop/2021/10/16/ha2042-accounting-information-systems-2/,Question 1 (07 marks) An ERP system has been emperically proven to bring significant benefits to the organisation. However it is also worth taking into consideration its disadvantges to have a successful implementation. List AND explain at least three examples of pros and three examples cons of an ERP system. ANSWER: ** Answer box will enlarge as you type Question 2 (11 marks) Figure 1 presents different business activities involved in the revenue cycle of ABC company. (a) Describe at least three (03) weaknesses depicted Figure 1. (4.5 marks) (b) Discuss the risks associated with the weaknesses in identified in (a). (4.5 marks) (c) Suggest the control activities for these weaknesses. (02 marks)    Read less,HA2042 Accounting Information Systems
https://scribing.shop/2021/10/16/inss703-information-security-management-deploying-a-firewall/,1) Critical Thinking: Discuss in your learning community the following question: Which architecture for deploying a firewall is most commonly used in businesses today? Why?ù Once you reach a consensus report your collective answer. Please make sure your answer is justified and supported by external research. 2) Hands on Risk Management Exercise: Each member of the learning community should complet. Post your results in the discussion forum and compare answers. Once you reach a consensus report your collective answer for each question. Please make sure your answers are well-supported clearly justified and examples should be provided where applicable.    Read less,INSS703 Information Security Management: Deploying A Firewall
https://scribing.shop/2021/10/16/itc596-it-risk-management-strategy-to-control-risks/,1. Which of the following is not a basic strategy to control risks? a) D©fense b) Transference c) Acceptance d) Deterrence 2. Which of the following is not a biometric technique? a) Iris scan b) Signature recognition c) Hand Geometry d) Palm Vein authentication 3. Organisations will typically define a ___ to ensure the delivery of a utility within well define parameters to customers. a) RPO b) RTO c) SLA d) OA 4. Which is not one of the core objectives in information security? a) Availability b) Efficiency c) Confidentiality d) Integrity 5. Which of the following is a device placed between an external untrusted network and an internal trusted network to serve as the sole target for attacks? a) Server b) Bastion Host c) Firewall d) Network Address Translator 6. In information security which of the following approaches is used to restore operating conditions back to normal? a) Compensating b) Recovery c) Preventative d) Deterrent 7. The use of access control lists is an example of which type of policy? a) Enterprise Information Security Policy b) System Specific Security Policy c) Issue Specific Security Policy d) Organisation mission Policy 8. Which of the following is not a component of the McCumber Cube? a) Policy b) Education c) Technology d) Risk Management 9. A hacker that engages in the act of hacking for the purposes of identifying vulnerabilities with the intention of deriving personal gain? a) White Hat b) Hackivist c) Black Hat d) Script Kiddie 10. Which of the following is NOT a key principle of access control? a) Separation of Duties b) Just in Time c) Need to Know d) Least Privilege 11. Which one of the following is not a category for access controls? a) Technical b) Administrative c) Management d) Operational 12. A risk management technique which relies on a group evaluating rating and ranking assets is known as? a) Delphi technique b) OCTAVE methods c) Microsoft risk management d) FAIR 13. In the likelihood and consequences rating from the Australian and New Zealand Risk Management Standard 4360 a risk level of 1 indicates what level of consequences? a) Insignificant b) Moderate c) Major d) Catastrophic 14. When using the U.S. military classification scheme which classification indicates that disclosure of contained information could cause severe damage to national security? a) Confidential data b) Sensitive but unclassified data c) Top secret data d) Unclassified data  15. Which term best describes a password attack whereby many permutations of passwords are used to gain entry to a system till successful? a) Dictionary b) Rainbow Tables c) Social Engineering d) Brute Force 16. Requiring each employee to secure all information in its appropriate storage container at the end of every business day is an example of a) Tidy Desk Policy b) Tidy Room Policy c) Clean Desk Policy d) Clean Room Policy 17. Which of the following is not one of the three types of plans included in a mitigation risk control strategy? a) Incident response plan b) Risk control plan c) Disaster recovery plan d) Business continuity plan 18. An efficient way to calculate the cost-benefit analysis (CBA) is by. a) CBA = ALE(postcontrol)  ALE(precontrol) + ACS b) CBA = ALE(postcontrol)  ALE(precontrol)  ACS c) CBA = ACS(precontrol)  ALE(postcontrol) + ALE(precontrol) d) CBA = ALE(precontrol)  ALE(postcontrol)  ACS 19. What is the process of assigning financial value or worth to each information asset? a) Vulnerability Assessment b) Risk Identification c) Asset Valuation d) Single Loss Expectancy 20. The process of identifying attacks for the purpose of pro-actively identifying attack vectors is commonly known as a) Penetration Testing b) Ethical Hacking c) Vulnerability Scanning d) Finger Printing.    Read less,ITC596 IT Risk Management: Strategy to Control Risks
https://scribing.shop/2021/10/16/cmse10002-strategic-management-internal-business-environment/,For the Strategy Report you are required to carry out a critical analysis of the Business Environment of the organization you've selected as case study as well as evaluate the strategies implemented by the organization. Please note that we want you to have the mind-set that you are submitting this Management Report to the Board of Directors for their consideration and understanding. Therefore it must be professional both in content (depth of research and analysis) and presentation. This assessment will entail engaging with the business models and frameworks typically employed to undertake an environmental audit and effectively evaluate strategic options available to organizations in terms of appropriateness feasibility and sustainability. When presenting the frameworks do not simply re- create the diagrams. Your role is to apply the frameworks. It is perfectly acceptable to use a series of subheading to delineate the points that you wish to make. These should link back to the material that you have critically reviewed within the previous sections. There must be a clear rationale for the recommendations. Read your recommendations carefully and ask yourself the following questions:    Read less,CMSE10002 Strategic Management- Internal business environment
https://scribing.shop/2021/10/16/law101-business-lawpersonal-property/,1. Explain the difference between real property and personal property. In your answer refer to at least five (5) real-life examples. 2. Describe the main courts in the Commonwealth and New South Wales court hierarchies and explain their relationship to the doctrine of precedent. 3. Explain what is meant by a òfixture' and why the definition is important. Describe the tests used to determine whether an item is or is not a fixture. In your answer ensure that you refer to at least three (3) relevant cases. 4. In the tort of negligence the òreasonable person' plays an important part in determining foreseeability and whether there has been a breach of the standard of care. Explain what is meant by the term 'reasonable person'? 5. In order to succeed in an action in negligence certain elements must be established by a plaintiff. Explain these elements. In your answer ensure that you refer to at least three (3) relevant cases    Read less,LAW101 Business Law|Personal Property
https://scribing.shop/2021/10/16/mkt2317-marketingtypical-consumer/,Instructions This piece of your on-going project will focus on customer decision making and customer relationship management. For your chosen product please complete the following: 1. Identify your chosen company and NEW Product concept. 2. Provide a description of how a typical consumer would make a decision on this product. With rationale. ( routine limited or extensive & what will influence their behaviour) 3. Provide a detailed description of how you would capture customer data for your CRM system (Web Point of Sale Kiosk Customer Service etc.) i.e. WHAT TOUCHPOINTS? for your product. Provide some rationale. 4. Provide a brief description of how you would leverage your customer data (Campaign Management Retaining Loyal Customers Cross-Selling etc.). i.e. Once you have consumer info what actions will you take to use it? Provide some rationale.    Read less,MKT2317 Marketing|Typical Consumer
